unique_indicator,type,asset,cad,usd,fx_rate,fees_cad,fees_usd,from_account,to_account,date
internal_transfer-Fqpa09iVSMb2HUO0mpN7lmOrESs,internal_transfer,currency,1628.0,1183.26,0.726818,24.42,17.7489,Compte_CAD_WS,Compte_USD_WS,2023-08-16
funding_intent-tu5POP8zXAO8EZijZvqWVvXkgxW,funding_intent,currency,1500.0,0.0,1.0,0.0,0.0,Compte_CAD_RBC,Compte_CAD_WS,2023-08-16
internal_transfer-bSy978zFf9wk4mm1nFMfXSQrtU,internal_transfer,currency,1000.0,735.78,0.735782,15.0,11.0367,Compte_CAD_WS,Compte_USD_WS,2023-07-30
funding_intent-myLQA9hXO5nbY5XVmeB8dqHZb0X,funding_intent,currency,1000.0,0.0,1.0,0.0,0.0,Compte_CAD_RBC,Compte_CAD_WS,2023-07-28
order-b062f9b5-9b9b-487a-bd74-cf612d55c3ae,order,BTC iShares 1-3 Year Treasury Bond ETF,871.2,0.0,1.34329,13.068,0.0,Compte_CAD_WS,,2023-07-27
funding_intent-bLVI1LKmd0E0LL7nRSa3BCuDpAs,funding_intent,currency,1000.0,0.0,1.0,0.0,0.0,Compte_CAD_RBC,Compte_CAD_WS,2023-07-25
order-63c9fada-03f1-4785-93e4-dafb141fc98b,order,Proshares Trust Ii - Ultra Bloomberg 2017,0.0,1152.92,1.0,0.0,0.0,Compte_USD_WS,,2023-08-16
custodian_account_activity-FB_BT3TTYfw4l4E3bWxA1dAKMIA,custodian_account_activity,currency,0.0,1.69,1.0,0.0,0.0,Custodian,Compte_USD_WS,2023-08-09
order-cf6e0050-c29e-43be-90c2-52c6947b359f,order,ProShares Short S&P500,0.0,676.5,1.0,0.0,0.0,Compte_USD_WS,,2023-07-31
order-16a9c444-79d9-4565-b6c4-bb4731eab5ed,order,ProShares Short S&P500,0.0,710.0,1.0,0.0,0.0,Compte_USD_WS,,2023-08-17
payment-LwxHrHYcJAA57AVxTRh0LNXcWjX,payment,currency,10,0,1,0,0,Compte_CAD_WS,,2023-09-30
internal_transfer-6hQmJR2yBQhBWqdvEqMs1jUtjiM,internal_transfer,currency,-450.0,326.28,0.725062,-6.75,4.8942,Compte_CAD_WS,Compte_USD_WS,2023-08-31
payment-YupKuL2tzp5dMNdJsIHibVkhNVt,payment,currency,10,0,1,0,0,Compte_CAD_WS,,2023-08-30
funding_intent-d65Dw8JXBleHjbKw1MYlXsvnID9,funding_intent,currency,500,0,1,0,0,Compte_CAD_RBC,Compte_CAD_WS,2023-08-29
order-5d2fba6d-1f29-4756-8322-01bdcc9ad988,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,-3003.05,1,0,0,Compte_USD_WS,,2023-09-29
order-1e1313dd-0ea7-4845-bf84-554200ce9af3,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,3004.04,1,0,0,Compte_USD_WS,,2023-09-29
order-6b1e1563-5d06-4c60-88b3-2ac2b74080f6,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,-3085.5,1,0,0,Compte_USD_WS,,2023-09-28
order-fa6d85eb-7b34-4149-9913-61c37a7aac36,order,ProShares UltraShort Bloomberg Crude Oil,0,3046.68,1,0,0,Compte_USD_WS,,2023-09-28
order-c2edf3b8-5fd4-4885-a522-fb7798723073,order,ProShares UltraShort Bloomberg Crude Oil,0,-3041.1,1,0,0,Compte_USD_WS,,2023-09-28
order-5ea6896f-2922-4f98-91e3-cb9db6ae3a61,order,ProShares UltraShort Bloomberg Crude Oil,0,3003.9,1,0,0,Compte_USD_WS,,2023-09-27
order-ea2920d5-2cd9-4d9c-97c8-9e09626fe88e,order,ProShares UltraShort Bloomberg Crude Oil,0,-3003.9,1,0,0,Compte_USD_WS,,2023-09-27
order-2e19d9e4-4e1b-47b9-aba8-a8bb251bba11,order,ProShares UltraShort Bloomberg Crude Oil,0,2998.85,1,0,0,Compte_USD_WS,,2023-09-27
order-d2ead80a-6f6a-42fb-8e50-6390a126e08b,order,ProShares UltraShort Bloomberg Crude Oil,0,-2998.63,1,0,0,Compte_USD_WS,,2023-09-27
order-273d30ab-5acb-459b-8432-87e5ce2c56c3,order,ProShares Ultra S&P500,0,2918.94,1,0,0,Compte_USD_WS,,2023-09-27
order-c7ad2aa5-3eb5-4c97-9420-2043c3981d42,order,ProShares Ultra S&P500,0,-2933.15,1,0,0,Compte_USD_WS,,2023-09-27
order-46b26c57-51fa-427f-8fb8-a48621ec0cf5,order,ProShares Ultra S&P500,0,3067.05,1,0,0,Compte_USD_WS,,2023-09-26
order-eaa07753-b8f3-4346-bba7-0d50dbe995cd,order,ProShares Ultra S&P500,0,-3130.83,1,0,0,Compte_USD_WS,,2023-09-26
order-64b27e0e-02fa-45c8-986d-a8f5e65c5b3a,order,ProShares Ultra S&P500,0,3112.2,1,0,0,Compte_USD_WS,,2023-09-25
order-a8c68fe2-32cd-40a0-8550-4b11daf4e08a,order,ProShares Ultra S&P500,0,-3100.8,1,0,0,Compte_USD_WS,,2023-09-22
order-2d453ce1-92f8-42de-b2db-59f1be6fb260,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,3080.47,1,0,0,Compte_USD_WS,,2023-09-21
order-c718cb70-5987-4564-851a-004635070df5,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,-3043,1,0,0,Compte_USD_WS,,2023-09-20
order-61b0ea13-6ac6-4f69-a356-4abce7fe4165,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,3094,1,0,0,Compte_USD_WS,,2023-09-19
